core,sub,cid,as
C=CCn1c(SCc2ccc(C(=O)[*:1])cc2)nnc1-c1ccncc1,ON[*:1],CHEMBL4869232,0
C=CCn1c(SCc2ccc(C(=O)[*:1])cc2)nnc1-c1ccncc1,Nc1ccccc1N[*:1],CHEMBL4854089,0
C#CCN(C)CCCOc1cc(NC(=O)CCCCC[*:1])ccc1Cl,O=C(C[*:1])NO,CHEMBL5170598,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCC[*:1])ccc1Cl,O=C(CC[*:1])NO,CHEMBL5187984,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCC[*:1])ccc1Cl,O=C(CCC[*:1])NO,CHEMBL5200566,1
O=C(CCCCCCC(=O)Nc1cccc(C[*:1])c1)NO,C#CCN(C)[*:1],CHEMBL5171489,2
O=C(CCCCCCC(=O)Nc1cccc(C[*:1])c1)NO,[*:1],CHEMBL3098603,2
O=C(CCCON=C1C(=C2C(=O)N([*:1])c3ccccc32)Nc2ccccc21)NO,C#CC[*:1],CHEMBL4877598,3
O=C(CCCON=C1C(=C2C(=O)N([*:1])c3ccccc32)Nc2ccccc21)NO,[*:1],CHEMBL4867598,3
CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(NC(=O)CCC[*:1])cc3)n2)cc1,O=C(C[*:1])NO,CHEMBL4282471,4
CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(NC(=O)CCC[*:1])cc3)n2)cc1,O=C(CCC[*:1])NO,CHEMBL4290831,4
CC(=O)N1c2ccc(NC(=O)CCCCCCC(=O)NO)cc2C(N[*:1])CC1C,CC(C)OC(=O)[*:1],CHEMBL3220923,5
CC(=O)N1c2ccc(NC(=O)CCCCCCC(=O)NO)cc2C(N[*:1])CC1C,c1ccc([*:1])cc1,CHEMBL3220925,5
CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(OCCCC[*:1])cc3)n2)cc1,O=C(C[*:1])NO,CHEMBL4290748,6
CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(OCCCC[*:1])cc3)n2)cc1,O=C(CCC[*:1])NO,CHEMBL4291781,6
CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(OCCCC[*:1])cc3)n2)cc1,O=C(CC[*:1])NO,CHEMBL4283921,6
CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(OCCCC[*:1])cc3)n2)cc1,COC(=O)CC[*:1],CHEMBL4282877,6
CC(=O)Nc1ccc(-c2ccnc(Nc3cccc(NC(=O)CCC[*:1])c3)n2)cc1,O=C(C[*:1])NO,CHEMBL4284388,7
CC(=O)Nc1ccc(-c2ccnc(Nc3cccc(NC(=O)CCC[*:1])c3)n2)cc1,O=C(CCC[*:1])NO,CHEMBL4282456,7
CC(=O)Nc1ccc(-c2ccnc(Nc3cccc(OCCCC[*:1])c3)n2)cc1,O=C(C[*:1])NO,CHEMBL4280540,8
CC(=O)Nc1ccc(-c2ccnc(Nc3cccc(OCCCC[*:1])c3)n2)cc1,O=C(CC[*:1])NO,CHEMBL4294153,8
CC(=O)Nc1ccc(-c2ccnc(Nc3cccc(OCCCC[*:1])c3)n2)cc1,O=C(CCC[*:1])NO,CHEMBL4278591,8
CC(=O)Nc1ccc(-c2nc(Nc3cccc(OCCCCC[*:1])c3)ncc2C)cc1,O=C(C[*:1])NO,CHEMBL4295224,9
CC(=O)Nc1ccc(-c2nc(Nc3cccc(OCCCCC[*:1])c3)ncc2C)cc1,O=C(CC[*:1])NO,CHEMBL4290689,9
O=C(NO)c1ccc(CN[*:1])cc1,CC(C)(C)C(=O)[*:1],CHEMBL2431863,10
O=C(NO)c1ccc(CN[*:1])cc1,c1csc(C[*:1])c1,CHEMBL5208700,10
O=C(NO)c1ccc(CN[*:1])cc1,c1cc(C[*:1])cs1,CHEMBL5208990,10
O=C(NC(CCCCCS[*:1])C(=O)Nc1cccc2cccnc12)OCc1ccccc1,CC(=O)[*:1],CHEMBL4551751,11
O=C(NC(CCCCCS[*:1])C(=O)Nc1cccc2cccnc12)OCc1ccccc1,COCCOCC(=O)[*:1],CHEMBL4593341,11
O=C(NC(CCCCCS[*:1])C(=O)Nc1cccc2cccnc12)OCc1ccccc1,OCCS[*:1],CHEMBL4438404,11
O=C(CCCCN1C(=O)C(CC(=O)[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)(C)O[*:1],CHEMBL4064784,12
O=C(CCCCN1C(=O)C(CC(=O)[*:1])N=C(c2ccccc2)c2ccccc21)NO,N[*:1],CHEMBL4072925,12
CC(C)(C)OC(=O)NC(CCC[*:1])C(=O)NC1CCCC1,OCC[*:1],CHEMBL1289498,13
CC(C)(C)OC(=O)NC(CCC[*:1])C(=O)NC1CCCC1,O=C(CC[*:1])NO,CHEMBL1289931,13
Cn1nc(-c2ccc(F)cc2)cc1C(=O)NCCCCCCS[*:1],CC(=O)[*:1],CHEMBL3759869,14
Cn1nc(-c2ccc(F)cc2)cc1C(=O)NCCCCCCS[*:1],[*:1],CHEMBL3758985,14
CC(C)(C)OC(=O)NC(CCCCCS)C(=O)[*:1],C1CCC(N[*:1])CC1,CHEMBL209551,15
CC(C)(C)OC(=O)NC(CCCCCS)C(=O)[*:1],C1CCCC(N[*:1])CC1,CHEMBL379049,15
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,C=CCC[*:1],CHEMBL4247128,16
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,CCC[*:1],CHEMBL4243458,16
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,COCC[*:1],CHEMBL4250891,16
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,CS(=O)(=O)CC[*:1],CHEMBL4237600,16
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,N#CCC[*:1],CHEMBL4242626,16
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,C1CCC(C[*:1])C1,CHEMBL4250122,16
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,[*:1],CHEMBL4243347,16
O=C(CCCCCC(N[*:1])C(=O)NC1CCCC1)NO,CC(C)(C)OC(=O)[*:1],CHEMBL1289931,17
O=C(CCCCCC(N[*:1])C(=O)NC1CCCC1)NO,O=C1CCCC(C(=O)[*:1])N1,CHEMBL3098697,17
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)(C)OC(=O)C[*:1],CHEMBL4072356,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)(C)O[*:1],CHEMBL4071741,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)(C)OC(=O)NCCC[*:1],CHEMBL4073372,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)(C)Oc1ccc([*:1])cc1,CHEMBL4070647,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)(C)S[*:1],CHEMBL4060342,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)[*:1],CHEMBL4079790,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,NC(=O)C[*:1],CHEMBL4061157,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,N=C(N)NCC[*:1],CHEMBL4063967,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,O=C(C[*:1])NO,CHEMBL4095398,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,Oc1ccc([*:1])cc1,CHEMBL4083033,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,c1ccc([*:1])cc1,CHEMBL4091540,18
O=C(CCCCN1C(=O)C(C[*:1])N=C(c2ccccc2)c2ccccc21)NO,[*:1],CHEMBL4069031,18
O=C(CCCCN1C(=O)C(CO[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)(C)[*:1],CHEMBL4071741,19
O=C(CCCCN1C(=O)C(CO[*:1])N=C(c2ccccc2)c2ccccc21)NO,[*:1],CHEMBL4085884,19
O=C(NO)c1ccc(CN2c3ccccc3NC(=O)C2C[*:1])cc1,CC(C)(C)Oc1ccc([*:1])cc1,CHEMBL521431,20
O=C(NO)c1ccc(CN2c3ccccc3NC(=O)C2C[*:1])cc1,CC(C)(C)OC(=O)NCCC[*:1],CHEMBL480729,20
O=C(NO)c1ccc(CN2c3ccccc3NC(=O)C2C[*:1])cc1,Fc1ccc([*:1])cc1F,CHEMBL481018,20
O=C(NO)c1ccc(CN2c3ccccc3NC(=O)C2C[*:1])cc1,Oc1ccc([*:1])cc1,CHEMBL481538,20
O=C(NO)c1ccc(CN2c3ccccc3NC(=O)C2C[*:1])cc1,c1ccc(C[*:1])cc1,CHEMBL482358,20
O=C(CCCCN1C(=O)C(CC[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)(C)OC(=O)NCC[*:1],CHEMBL4073372,21
O=C(CCCCN1C(=O)C(CC[*:1])N=C(c2ccccc2)c2ccccc21)NO,CS[*:1],CHEMBL4072618,21
O=C(NO)c1ccc(CN2C(=O)CN(Cc3ccc([*:1])cc3)C2=O)cc1,CC(C)(C)[*:1],CHEMBL4853389,22
O=C(NO)c1ccc(CN2C(=O)CN(Cc3ccc([*:1])cc3)C2=O)cc1,[*:1],CHEMBL4863833,22
O=C(CCCCN1C(=O)C(CS[*:1])N=C(c2ccccc2)c2ccccc21)NO,CC(C)(C)[*:1],CHEMBL4060342,23
O=C(CCCCN1C(=O)C(CS[*:1])N=C(c2ccccc2)c2ccccc21)NO,[*:1],CHEMBL4084736,23
O=C(NO)c1ccc(CNCc2nnnn2[*:1])cc1,CC(C)(C)[*:1],CHEMBL4754795,24
O=C(NO)c1ccc(CNCc2nnnn2[*:1])cc1,C1CCC([*:1])CC1,CHEMBL4754868,24
O=C(NO)c1ccc(CNCc2nnnn2[*:1])cc1,c1ccc(C[*:1])cc1,CHEMBL4752076,24
O=C(NO)c1ccc(CN(S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)[*:1])cc1,CC(C)(C)c1ccc(C[*:1])cc1,CHEMBL5085755,25
O=C(NO)c1ccc(CN(S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)[*:1])cc1,Cc1ccc(C[*:1])cc1,CHEMBL5075515,25
O=C(NO)c1ccc(CN(S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)[*:1])cc1,FC(F)(F)c1ccc(C[*:1])cc1,CHEMBL5085571,25
O=C(NO)c1ccc(CN(S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)[*:1])cc1,Fc1ccc(C[*:1])cc1,CHEMBL5080599,25
O=C(NO)c1ccc(CN(S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)[*:1])cc1,c1ccc(C[*:1])cc1,CHEMBL5080426,25
O=C(NO)c1ccc(CN(S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)[*:1])cc1,c1cc(C[*:1])ccn1,CHEMBL5086440,25
O=C(NO)c1ccc(CN(S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)[*:1])cc1,[*:1],CHEMBL5082396,25
CC(C)(F)CN1CCc2cc(O)ccc2C1c1ccc(O[*:1])cc1,O=C(CN1CC([*:1])C1)NO,CHEMBL5091589,26
CC(C)(F)CN1CCc2cc(O)ccc2C1c1ccc(O[*:1])cc1,O=C(CCCCC[*:1])NO,CHEMBL5078131,26
CC(C)(F)CN1CCc2cc(O)ccc2C1c1ccc(O[*:1])cc1,O=C(CCCCCC[*:1])NO,CHEMBL5090940,26
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,CC(C)(C)c1ccc(C[*:1])cc1,CHEMBL4868120,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,CCC[*:1],CHEMBL4851633,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,C[*:1],CHEMBL4873563,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,COc1ccc(C[*:1])cc1,CHEMBL4862983,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,Cc1ccc(C[*:1])cc1,CHEMBL4850829,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,c1ccc2cc(C[*:1])ccc2c1,CHEMBL4854096,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,c1ccc(C[*:1])cc1,CHEMBL4854541,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,c1ccc(CC[*:1])cc1,CHEMBL4871920,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,c1cncc(C[*:1])c1,CHEMBL4866683,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,c1cc(C[*:1])ccn1,CHEMBL4878288,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,c1ccc(C[*:1])nc1,CHEMBL4858289,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,c1ccc2c(C[*:1])cccc2c1,CHEMBL4846062,27
O=C(NO)c1ccc(CN2C(=O)C(Cc3ccccc3)N([*:1])C2=O)cc1,Clc1ccc(C[*:1])cc1,CHEMBL4851023,27
O=C(C=Cc1ccc2c(c1)C(=O)N(Cc1ccc([*:1])cc1)C2)NO,CC(C)(C)[*:1],CHEMBL247218,28
O=C(C=Cc1ccc2c(c1)C(=O)N(Cc1ccc([*:1])cc1)C2)NO,c1cncc([*:1])c1,CHEMBL247654,28
O=C(C=Cc1ccc2c(c1)C(=O)N(Cc1ccc([*:1])cc1)C2)NO,c1ccc([*:1])cc1,CHEMBL247653,28
O=C(C=Cc1ccc2c(c1)C(=O)N(Cc1ccc([*:1])cc1)C2)NO,[*:1],CHEMBL247217,28
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,CC(C)(C)c1ccc([*:1])cc1,CHEMBL4855750,29
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,CC[*:1],CHEMBL4859396,29
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,COc1ccc([*:1])cc1,CHEMBL4863335,29
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,Cc1ccc([*:1])cc1,CHEMBL4878639,29
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,c1ccc2cc([*:1])ccc2c1,CHEMBL4871002,29
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,c1ccc(C[*:1])cc1,CHEMBL4845845,29
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,c1ccc([*:1])cc1,CHEMBL4860720,29
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,c1ccc2c([*:1])cccc2c1,CHEMBL4865529,29
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,Clc1ccc([*:1])cc1,CHEMBL4849507,29
O=C(NO)c1ccc(CN2C(=O)NC(C[*:1])(c3ccccc3)C2=O)cc1,[*:1],CHEMBL4868079,29
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C[*:1])NO,CC(C)(O)[*:1],CHEMBL3287265,30
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C[*:1])NO,CC(C)[*:1],CHEMBL3287250,30
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C[*:1])NO,CCC[*:1],CHEMBL3287254,30
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C[*:1])NO,c1ccc([*:1])cc1,CHEMBL3287262,30
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C[*:1])NO,[*:1],CHEMBL3287251,30
CC(C)C(NC(=O)c1csc([*:1])n1)C(=O)OCC=CCCS,c1nc([*:1])cs1,CHEMBL3287008,31
CC(C)C(NC(=O)c1csc([*:1])n1)C(=O)OCC=CCCS,Cc1nc([*:1])cs1,CHEMBL3287010,31
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C1CC1[*:1])NO,CC(C)[*:1],CHEMBL3287269,32
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C1CC1[*:1])NO,[*:1],CHEMBL3287255,32
CC(C)CC1C(=O)N(Cc2ccc(C(=O)NO)cc2)C(=O)N1[*:1],C[*:1],CHEMBL4868785,33
CC(C)CC1C(=O)N(Cc2ccc(C(=O)NO)cc2)C(=O)N1[*:1],c1ccc(C[*:1])cc1,CHEMBL4875843,33
CC(C)CC1C(=O)N(Cc2ccc(C(=O)NO)cc2)C(=O)N1[*:1],CCC[*:1],CHEMBL4856388,33
CN1C(=O)N(Cc2ccc(C(=O)NO)cc2)C(=O)C1C[*:1],CC(C)[*:1],CHEMBL4868785,34
CN1C(=O)N(Cc2ccc(C(=O)NO)cc2)C(=O)C1C[*:1],c1ccc([*:1])cc1,CHEMBL4873563,34
O=C(NO)c1ccc(CN2C(=O)C(C[*:1])N(Cc3ccccc3)C2=O)cc1,CC(C)[*:1],CHEMBL4875843,35
O=C(NO)c1ccc(CN2C(=O)C(C[*:1])N(Cc3ccccc3)C2=O)cc1,c1ccc([*:1])cc1,CHEMBL4854541,35
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1[*:1])NO,CC(C)C=C[*:1],CHEMBL3287268,36
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1[*:1])NO,CC=C[*:1],CHEMBL3287266,36
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1[*:1])NO,Fc1ccc([*:1])cc1,CHEMBL3287258,36
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1[*:1])NO,O=[N+]([O-])c1ccc([*:1])cc1,CHEMBL3287261,36
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1[*:1])NO,c1ccc([*:1])cc1,CHEMBL3287257,36
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1[*:1])NO,Fc1ccc([*:1])c(Cl)c1,CHEMBL3287259,36
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1[*:1])NO,Clc1ccccc1[*:1],CHEMBL3287260,36
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1[*:1])NO,[*:1],CHEMBL3287023,36
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C=C[*:1])NO,CC(C)[*:1],CHEMBL3287268,37
O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C=C[*:1])NO,[*:1],CHEMBL3287267,37
O=C(C=Cc1ccc(CN(Cc2ccccc2)[*:1])o1)NO,CC(C)C[*:1],CHEMBL2413320,38
O=C(C=Cc1ccc(CN(Cc2ccccc2)[*:1])o1)NO,CC(C)[*:1],CHEMBL2413318,38
O=C(C=Cc1ccc(CN(Cc2ccccc2)[*:1])o1)NO,CCCC[*:1],CHEMBL2413319,38
O=C(C=Cc1ccc(CN(Cc2ccccc2)[*:1])o1)NO,CCC[*:1],CHEMBL2413317,38
O=C(C=Cc1ccc(CN(Cc2ccccc2)[*:1])o1)NO,CC[*:1],CHEMBL2413316,38
O=C(C=Cc1ccc(CN(Cc2ccccc2)[*:1])o1)NO,Cc1ccc(OCC[*:1])cc1,CHEMBL2413294,38
O=C(C=Cc1ccc(CN(Cc2ccccc2)[*:1])o1)NO,OCC[*:1],CHEMBL2413292,38
O=C(C=Cc1ccc(CN(Cc2ccccc2)[*:1])o1)NO,c1ccc(OCCC[*:1])cc1,CHEMBL2413295,38
O=C(C=Cc1ccc(CN(Cc2ccccc2)[*:1])o1)NO,c1ccc(OCC[*:1])cc1,CHEMBL2413293,38
O=C(NO)c1ccc(O[*:1])c(NC(=O)c2ccccc2)c1,CC(C)[*:1],CHEMBL3800057,39
O=C(NO)c1ccc(O[*:1])c(NC(=O)c2ccccc2)c1,CC[*:1],CHEMBL3798028,39
O=C(NO)c1ccc(O[*:1])c(NC(=O)c2ccccc2)c1,C[*:1],CHEMBL3798870,39
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,CC(C)N(CC[*:1])C(C)C,CHEMBL1096022,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,CC(C)[*:1],CHEMBL1097017,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,CC(c1ccccc1)[*:1],CHEMBL1094792_CHEMBL1094793,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,CCN(CC)CC[*:1],CHEMBL1095711,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,CCN1CCCC([*:1])C1,CHEMBL1095135_CHEMBL1095764_CHEMBL1095765,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,CN(C)CC[*:1],CHEMBL1095710,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,CN1CCCC([*:1])C1,CHEMBL1094158_CHEMBL1094159_CHEMBL1095449,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,COc1ccc([*:1])cc1,CHEMBL1099095,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,C[*:1],CHEMBL1098379,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,Clc1ccc([*:1])cc1,CHEMBL1099094,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,c1ccc([*:1])cc1,CHEMBL1094085,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,C1CCC([*:1])CC1,CHEMBL1097369,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,C1CC(C[*:1])CCN1,CHEMBL1095076,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,C1CNCC([*:1])C1,CHEMBL1094152_CHEMBL1094794_CHEMBL1095124,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,C1CCN(CC[*:1])CC1,CHEMBL1099057,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,C1CN(CC[*:1])CCO1,CHEMBL1095075,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,c1ccc(C[*:1])cc1,CHEMBL1097981,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,c1ccc(CC[*:1])cc1,CHEMBL1099096,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,C1CCN(CC[*:1])C1,CHEMBL1099058,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,c1ccc(CCC[*:1])cc1,CHEMBL1097761,40
O=C(C=Cc1cccc(-c2nc3ccccc3n2[*:1])c1)NO,[*:1],CHEMBL1098042,40
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,CC(C)Oc1cccc([*:1])c1,CHEMBL4208584,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,CCCOc1cccc([*:1])c1,CHEMBL4202659,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,CCOc1cccc([*:1])c1,CHEMBL4203874,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,COc1cc(OC)cc([*:1])c1,CHEMBL4210899,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,COc1ccc([*:1])cc1,CHEMBL4217830,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,COc1ccc([*:1])cc1OC,CHEMBL4211463,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,COc1ccc(F)cc1[*:1],CHEMBL4212669,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,COc1cccc([*:1])c1,CHEMBL4214652,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,COc1cccc([*:1])c1F,CHEMBL4205573,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,COc1ccccc1[*:1],CHEMBL4204972,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,Cc1cc(C)cc([*:1])c1,CHEMBL4210578,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,Clc1cc(Cl)cc([*:1])c1,CHEMBL4203935,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,Clc1ccc(Cl)c([*:1])c1,CHEMBL4207699,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,Clc1cccc(Cl)c1[*:1],CHEMBL4215505,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,FC(F)(F)c1ccc([*:1])cc1,CHEMBL4205375,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,Clc1ccc([*:1])cc1,CHEMBL4217088,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,Clc1cccc([*:1])c1,CHEMBL4212219,41
O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc([*:1])ccc23)cc1,Clc1ccc([*:1])cc1Cl,CHEMBL4213207,41
