core,sub,cid,as
c1ccc2c(Cc3nnc4ncc([*:1])nn34)c[nH]c2c1,Brc1ccc([*:1])cc1,CHEMBL3799231,0
c1ccc2c(Cc3nnc4ncc([*:1])nn34)c[nH]c2c1,Oc1cccc([*:1])c1,CHEMBL3798974,0
CC(Oc1cc(-c2cnn(C3CCN([*:1])CC3)c2)cnc1F)c1c(Cl)ccc(F)c1Cl,CC(=O)[*:1],CHEMBL4640560,1
CC(Oc1cc(-c2cnn(C3CCN([*:1])CC3)c2)cnc1F)c1c(Cl)ccc(F)c1Cl,[*:1],CHEMBL4638210,1
CC(Oc1cncc(-c2cnn(C3CCN([*:1])CC3)c2)c1)c1c(Cl)ccc(F)c1Cl,CC(=O)[*:1],CHEMBL4638327,2
CC(Oc1cncc(-c2cnn(C3CCN([*:1])CC3)c2)c1)c1c(Cl)ccc(F)c1Cl,CC(C)[*:1],CHEMBL4649193,2
CC(Oc1cncc(-c2cnn(C3CCN([*:1])CC3)c2)c1)c1c(Cl)ccc(F)c1Cl,C[*:1],CHEMBL4635560,2
CC(Oc1cncc(-c2cnn(C3CCN([*:1])CC3)c2)c1)c1c(Cl)ccc(F)c1Cl,NC(=O)C[*:1],CHEMBL4645582,2
CC(Oc1cncc(-c2cnn(C3CCN([*:1])CC3)c2)c1)c1c(Cl)ccc(F)c1Cl,C1CC1C[*:1],CHEMBL4646769,2
CC(Oc1cncc(-c2cnn(C3CCN([*:1])CC3)c2)c1)c1c(Cl)ccc(F)c1Cl,Fc1ccccc1C[*:1],CHEMBL4643041,2
CC(Oc1cncc(-c2cnn(C3CCN([*:1])CC3)c2)c1)c1c(Cl)ccc(F)c1Cl,CS(=O)(=O)[*:1],CHEMBL4648551,2
CC(Oc1c(N)ncc2c(-c3cnn([*:1])c3)coc12)c1c(Cl)ccc(F)c1Cl,CC(=O)N1CCC([*:1])CC1,CHEMBL2401819,3
CC(Oc1c(N)ncc2c(-c3cnn([*:1])c3)coc12)c1c(Cl)ccc(F)c1Cl,[*:1],CHEMBL2401820,3
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Brc1ccc([*:1])cc1,CHEMBL3798130,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,CCCn1cc([*:1])cn1,CHEMBL3800295,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,CCn1cc([*:1])cn1,CHEMBL3799924,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,COc1cccc([*:1])c1,CHEMBL3800559,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Clc1ccc([*:1])cc1,CHEMBL3797307,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Clc1ccc([*:1])cc1Cl,CHEMBL3800427,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Cn1cc([*:1])cn1,CHEMBL3797914,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,O=[N+]([O-])c1cccc([*:1])c1,CHEMBL3798623,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Oc1cccc([*:1])c1,CHEMBL3800471,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,c1ccc([*:1])cc1,CHEMBL3799192,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,c1ccc2ncc([*:1])cc2c1,CHEMBL3798174,4
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,c1csc([*:1])c1,CHEMBL3797547,4
FC(F)(F)c1cc(-c2ccccc2)c2nc([*:1])cnc2c1,CC(=O)N1CCN([*:1])CC1,CHEMBL510459,5
FC(F)(F)c1cc(-c2ccccc2)c2nc([*:1])cnc2c1,CN(C)[*:1],CHEMBL456722,5
FC(F)(F)c1cc(-c2ccccc2)c2nc([*:1])cnc2c1,CN1CCN([*:1])CC1,CHEMBL456502,5
O=S(=O)(c1cccc2nonc12)n1ccc2ncc([*:1])cc21,CC(=O)N1CCN([*:1])CC1,CHEMBL549980,6
O=S(=O)(c1cccc2nonc12)n1ccc2ncc([*:1])cc21,C1CN([*:1])CCN1,CHEMBL549571,6
O=S(=O)(c1cccc2nonc12)n1ccc2ncc([*:1])cc21,[*:1],CHEMBL556837,6
O=S(=O)(c1cccc2nonc12)n1ccc2ncc(N3CCN([*:1])CC3)cc21,CC(=O)[*:1],CHEMBL549980,7
O=S(=O)(c1cccc2nonc12)n1ccc2ncc(N3CCN([*:1])CC3)cc21,CNCC(=O)[*:1],CHEMBL564760,7
O=S(=O)(c1cccc2nonc12)n1ccc2ncc(N3CCN([*:1])CC3)cc21,O=C(c1cccnc1)[*:1],CHEMBL564904,7
O=S(=O)(c1cccc2nonc12)n1ccc2ncc(N3CCN([*:1])CC3)cc21,[*:1],CHEMBL549571,7
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,CC(=O)[*:1],CHEMBL4459121,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,CC(C)(C)C(=O)[*:1],CHEMBL4460341,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,CC(C)C(=O)[*:1],CHEMBL4468880,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,CC(C)(O)C(=O)[*:1],CHEMBL4549272,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,CC(O)C(=O)[*:1],CHEMBL4513894,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,CCC(=O)[*:1],CHEMBL4529670,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,CCCC(=O)[*:1],CHEMBL4530342,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,CCCCC(=O)[*:1],CHEMBL4443752,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,O=C(CO)[*:1],CHEMBL4575352,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,O=C(C1CC1)[*:1],CHEMBL4434974,8
O=c1c(-c2ccc(F)cc2)c[nH]c2ccnc(Nc3ccc(Oc4ccnc(N[*:1])c4)c(F)c3)c12,O=C(C1CCC1)[*:1],CHEMBL4567013,8
O=S(=O)(c1c(Cl)cccc1Cl)N1CCc2[nH]nc(-c3ccc(N[*:1])cc3)c2C1,CC(=O)[*:1],CHEMBL4173099,9
O=S(=O)(c1c(Cl)cccc1Cl)N1CCc2[nH]nc(-c3ccc(N[*:1])cc3)c2C1,CN1CCC([*:1])CC1,CHEMBL4168618,9
O=S(=O)(c1c(Cl)cccc1Cl)N1CCc2[nH]nc(-c3ccc(N[*:1])cc3)c2C1,CC(=O)N1CCC([*:1])CC1,CHEMBL4176824,9
Cn1cc(-c2cc(F)c3nnc(Cc4ccc5nc(N[*:1])sc5c4)n3c2)cn1,CC(=O)[*:1],CHEMBL3414745,10
Cn1cc(-c2cc(F)c3nnc(Cc4ccc5nc(N[*:1])sc5c4)n3c2)cn1,[*:1],CHEMBL3414912,10
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,CC(=O)[*:1],CHEMBL4542687,11
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,CCN(CC)CCNC(=O)[*:1],CHEMBL4459929,11
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,CC[*:1],CHEMBL4460346,11
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,C1CN(CC[*:1])CCO1,CHEMBL4455032,11
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,O=C(CC1CC1)[*:1],CHEMBL4576381,11
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,O=C(CCCN1CCOCC1)[*:1],CHEMBL4470877,11
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,O=C(NCCN1CCOCC1)[*:1],CHEMBL4461070,11
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,O=C(C1CC1)[*:1],CHEMBL4457387,11
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,O=C(OCCN1CCOCC1)[*:1],CHEMBL4537419,11
Fc1ccc(-c2ccc3nnc(Sc4ccc5nc(N[*:1])sc5c4)n3n2)cc1,[*:1],CHEMBL4448029,11
Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(N[*:1])cc3F)c12,CC(=O)c1cccc(C(=O)[*:1])c1,CHEMBL251780,12
