core,sub,cid,as
C#CCN(C)CCCOc1cc(NC(=O)CCCCC[*:1])ccc1Cl,O=C(CCC[*:1])NO,CHEMBL5200566,0
C#CCN(C)CCCOc1cc(NC(=O)CCCCC[*:1])ccc1Cl,O=C(C[*:1])NO,CHEMBL5170598,0
C#CCN(C)CCCOc1cc(NC(=O)CCCCC[*:1])ccc1Cl,O=C(CC[*:1])NO,CHEMBL5187984,0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn([*:1])nn1,O=C(CCC[*:1])NO,CHEMBL4759072,1
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn([*:1])nn1,O=C(CCCC[*:1])NO,CHEMBL4744985,1
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn([*:1])nn1,O=C(CC[*:1])NO,CHEMBL4793338,1
O=C(CCCCCCC(=O)Nc1cccc(C[*:1])c1)NO,C#CCN(C)[*:1],CHEMBL5171489,2
O=C(CCCCCCC(=O)Nc1cccc(C[*:1])c1)NO,[*:1],CHEMBL3098603,2
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)[*:1])c4)cc23)c1,Nc1ccccc1N[*:1],CHEMBL3218001,3
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)[*:1])c4)cc23)c1,ON[*:1],CHEMBL3218002,3
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn([*:1])nn1,O=C(CC[*:1])NO,CHEMBL4759697,4
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn([*:1])nn1,O=C(CCC[*:1])NO,CHEMBL4794998,4
C=CC(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCc1cn([*:1])nn1,O=C(CCCC[*:1])NO,CHEMBL4783641,4
CCCNNC(=O)c1ccc(CNC(=O)c2cc3cc(O[*:1])ccc3o2)cc1,C=CC[*:1],CHEMBL5089744,5
CCCNNC(=O)c1ccc(CNC(=O)c2cc3cc(O[*:1])ccc3o2)cc1,C[*:1],CHEMBL5093099,5
CCCNNC(=O)c1ccc(CNC(=O)c2cc3cc(O[*:1])ccc3o2)cc1,[*:1],CHEMBL5086141,5
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,CC(=NO)c1sccc1[*:1],CHEMBL4633075,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,CC(=O)Nc1cccc([*:1])c1,CHEMBL4646613,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,CC(=O)Nc1ccccc1[*:1],CHEMBL4632569,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,CN(C)[*:1],CHEMBL4636734,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,Cc1[nH]ncc1[*:1],CHEMBL4647467,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,Cc1n[nH]c(C)c1[*:1],CHEMBL4633570,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,Nc1cccc([*:1])c1,CHEMBL4640407,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,c1cc([*:1])n[nH]1,CHEMBL4646011,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,c1ccc([*:1])cc1,CHEMBL4646512,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,c1cncc([*:1])c1,CHEMBL4640593,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,c1cc2cc([*:1])ccc2[nH]1,CHEMBL4648856,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,c1n[nH]cc1[*:1],CHEMBL4633137,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,O=C(O)c1cccc([*:1])c1,CHEMBL4640415,6
O=C(NO)c1ccc(NC(=O)C2(c3ccc([*:1])cc3)CCCC2)cc1,[*:1],CHEMBL4645602,6
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,C=CCC[*:1],CHEMBL4247128,7
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,CCC[*:1],CHEMBL4243458,7
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,COCC[*:1],CHEMBL4250891,7
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,CS(=O)(=O)CC[*:1],CHEMBL4237600,7
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,N#CCC[*:1],CHEMBL4242626,7
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,C1CCC(C[*:1])C1,CHEMBL4250122,7
O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cnn([*:1])c3)c3cc[nH]c3n2)cc1)NO,[*:1],CHEMBL4243347,7
CC(=O)CCCCCC(N[*:1])C(=O)Nc1cccc(-c2ccccc2)c1,CN1CCCCC1C(=O)[*:1],CHEMBL217314,8
CC(=O)CCCCCC(N[*:1])C(=O)Nc1cccc(-c2ccccc2)c1,O=C(c1cncs1)[*:1],CHEMBL217650,8
