smiles	cid	tid
C#CCCC1(CCC(=O)N2CCC(NC(=O)NC34CC5CC(Cl)(CC(C3)c3ccccc35)C4)CC2)N=N1	CHEMBL5196519	2409
C=C(CCCNC(=O)NC12CC3CC(CC(C3)C1)C2)OCCOCCOCC	CHEMBL2031948	2409
C=CCOC1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL2031951	2409
CC(=O)C1CCC(NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1	CHEMBL1818421	2409
CC(=O)COc1ccc(S(=O)(=O)N2CCC(C(=O)NC3CCCCCC3)CC2)cc1	CHEMBL1933513	2409
CC(=O)N1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL215025	2409
CC(=O)N1CCC(NC(=O)NC23CC4(F)CC(F)(CC(F)(C4)C2)C3)CC1	CHEMBL1668924	2409
CC(=O)N1CCC(NC(=O)NC23CC4CC(C)(CC(C2)c2ccccc24)C3)CC1	CHEMBL5081815	2409
CC(=O)N1CCC(NC(=O)NC23CC4CC(C)(CC(C2)c2ccccc24)O3)CC1	CHEMBL5083763	2409
CC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL436774	2409
CC(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)O2)C3)CC1	CHEMBL4759592	2409
CC(=O)N1CCC(NC(=O)NC23CC4CC(Cl)(CC(C2)c2ccccc24)C3)CC1	CHEMBL5195267	2409
CC(=O)N1CCC(NC(=O)NC23CC4CC(F)(CC(C2)c2ccccc24)C3)CC1	CHEMBL5169759	2409
CC(=O)N1CCC(NC(=O)NC23CC4CC(F)(CC(F)(C4)C2)C3)CC1	CHEMBL1668923	2409
CC(=O)N1CCC(NC(=O)NC23CC4CC(O)(CC(C2)c2ccccc24)C3)CC1	CHEMBL5203000	2409
CC(=O)N1CCC(NC(=O)NC2C3CCC2CC3)CC1	CHEMBL1668926	2409
CC(=O)N1CCC(NC(=O)NC2CC3(C)CCC2CC3)CC1	CHEMBL1668925	2409
CC(=O)N1CCC(NC(=O)NC2CCC(C(C)(C)C)CC2)CC1	CHEMBL1668929	2409
CC(=O)N1CCC(NC(=O)NC2CCC(C)(C)CC2)CC1	CHEMBL1668930	2409
CC(=O)N1CCC(NC(=O)NC2CCC(F)(F)CC2)CC1	CHEMBL1668931	2409
CC(=O)N1CCC(NC(=O)NC2CCCCC2)CC1	CHEMBL1668927	2409
CC(=O)N1CCC(NC(=O)NC2CCCCCC2)CC1	CHEMBL1668928	2409
CC(=O)N1CCC(NC(=O)Nc2ccc(C(F)(F)F)cc2)CC1	CHEMBL1668932	2409
CC(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1	CHEMBL1668934	2409
CC(=O)N1CCC(NC(=O)Nc2cccc(C(F)(F)F)c2)CC1	CHEMBL1668933	2409
CC(=O)N1CCN(C(=O)CCC(=O)N2CCC(NC(=O)NC34CC5CC(CC(C5)C3)C4)CC2)CC1	CHEMBL3222123	2409
CC(=O)N1CCN(C(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL3222126	2409
