smiles	cid	tid
C#CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1	CHEMBL260701	284
C#Cc1cnc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O	CHEMBL1650422	284
C=C(C)CC1CNC(C(=O)N2CCCC2C#N)C1	CHEMBL437570	284
C=CCC1CNC(C(=O)N2CCCC2C#N)C1	CHEMBL245069	284
C=CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1	CHEMBL261462	284
C=COC(=O)C1CCCN1C(=O)C(CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C	CHEMBL5220594	284
C=COC(=O)C1CCCN1C(=O)C(N)CCCCN	CHEMBL5220657	284
C=COC(=O)C1CCCN1C(=O)CN	CHEMBL5219299	284
C=COC(=O)C1CCCN1C(=O)CNC(=O)OC(C)(C)C	CHEMBL5220053	284
C=Cc1cnc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O	CHEMBL1650426	284
CC#CC#Cc1ccc(C#CC(O)CO)s1	CHEMBL3343899	284
CC#CCN1C(N2CCCC(N)C2)=NC2C1C(=O)N(C(C)c1nc(C)c3ccccc3n1)C(=O)N2C	CHEMBL4649180	284
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2c1c(=O)n(CC(=O)c1cccc(OC)c1)c(=O)n2C	CHEMBL1951603	284
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C	CHEMBL1951604	284
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21	CHEMBL1951425_CHEMBL1951426	284
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(Cc3ccnc4ccccc34)c(=O)c21	CHEMBL1951427	284
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21	CHEMBL1951428	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(C)c1=O	CHEMBL2424672	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(CC#CC)c1=O	CHEMBL2425882	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(Br)cc(C(=O)O)c2)c1=O	CHEMBL4860737	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(Br)cc(C(=O)OC)c2)c1=O	CHEMBL4863369	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)O)ccc2Br)c1=O	CHEMBL4873862	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)O)ccc2F)c1=O	CHEMBL4857729	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)OC)ccc2Br)c1=O	CHEMBL4856255	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)OC)ccc2F)c1=O	CHEMBL4876894	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(Cl)c3ccccc3n2)c1=O	CHEMBL2425895	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Br)c(C(=O)O)c2)c1=O	CHEMBL4856337	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Br)c(C(=O)OC)c2)c1=O	CHEMBL4851477	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(C(=O)OC)cc2)c1=O	CHEMBL4862579	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)O)c2)c1=O	CHEMBL4865204	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)OC)c2)c1=O	CHEMBL4845890	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)O)c2)c1=O	CHEMBL4863102	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)OC)c2)c1=O	CHEMBL4846335	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3c(ccc4ccccc43)n2)c1=O	CHEMBL2425887	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3cc(Br)ccc3n2)c1=O	CHEMBL2425888	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3cc(C)ccc3n2)c1=O	CHEMBL2425891	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3cc(Cl)ccc3n2)c1=O	CHEMBL2425889	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3cc(F)ccc3n2)c1=O	CHEMBL2425890	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3cc(OC)ccc3n2)c1=O	CHEMBL2425892	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3ccc(Cl)cc3n2)c1=O	CHEMBL2425893	284
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3ccc(F)cc3n2)c1=O	CHEMBL2425894	284
