core,sub,cid,as
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],C#CCOCC[*:1],CHEMBL221508,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],C=CCOCC[*:1],CHEMBL223645,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],COC(C[*:1])OC,CHEMBL374756,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],COCCC[*:1],CHEMBL222920,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],COCC[*:1],CHEMBL426183,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],CSCC[*:1],CHEMBL376608,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],CC(O)C[*:1],CHEMBL225174,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],CC1(C)OCC(C[*:1])O1,CHEMBL225458,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],C(CN1CCOCC1)C[*:1],CHEMBL376486,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],OCCC[*:1],CHEMBL374531,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],C1CCN(CC[*:1])CC1,CHEMBL221568,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],OCC[*:1],CHEMBL373807,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],C1CN(CC[*:1])CCO1,CHEMBL387551,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],CN(C)CC[*:1],CHEMBL373808,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],CC(=O)NCC[*:1],CHEMBL222227,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],OCCOCC[*:1],CHEMBL427104,0
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1[*:1],[*:1],CHEMBL1773425,0
C#CCOCCn1c(S[*:1])nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,C[*:1],CHEMBL221508,1
C#CCOCCn1c(S[*:1])nc(-c2ccc(F)cc2)c1-c1ccnc(NC(C)=O)c1,C[S+]([O-])c1ccc(C[*:1])cc1,CHEMBL225101,1
NC(=O)c1nc(-c2ccc(F)cc2)c(-c2ccnc(N[*:1])c2)[nH]1,CC(=O)[*:1],CHEMBL4564217,2
NC(=O)c1nc(-c2ccc(F)cc2)c(-c2ccnc(N[*:1])c2)[nH]1,O=C(C1CC1)[*:1],CHEMBL4452444,2
O=c1cc(-c2[nH]c([*:1])nc2-c2ccc(F)cc2)cc[nH]1,C#Cc1ccc([*:1])cc1,CHEMBL3314276,3
O=c1cc(-c2[nH]c([*:1])nc2-c2ccc(F)cc2)cc[nH]1,O=C(O)c1ccc([*:1])cc1,CHEMBL3313935,3
O=c1cc(-c2[nH]c([*:1])nc2-c2ccc(F)cc2)cc[nH]1,Oc1ccc([*:1])cc1,CHEMBL3314281,3
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC3CCC(C(=O)O)CC3O)n2[*:1])ccn1,C[*:1],CHEMBL3394111,4
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC3CCC(C(=O)O)CC3O)n2[*:1])ccn1,C1CCC([*:1])CC1,CHEMBL3394110,4
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC3CCC(C(=O)O)CC3O)n2[*:1])ccn1,C1COC(C[*:1])C1,CHEMBL3394113,4
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SC3CCC(C(=O)O)CC3O)n2[*:1])ccn1,COC(C[*:1])OC,CHEMBL3394112,4
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(S[*:1])n2C)ccn1,O=C(O)C1CCC([*:1])C(O)C1,CHEMBL3394111,5
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(S[*:1])n2C)ccn1,O=C(O)C=C[*:1],CHEMBL3394100,5
CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(S[*:1])n2C)ccn1,O=C(O)C[*:1],CHEMBL3394096,5
