core,sub,cid,as
N#CC1CCCN1C(=O)C1CC([*:1])CN1,C=CC[*:1],CHEMBL245069,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,C=C(C)C[*:1],CHEMBL437570,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,CC(C)C[*:1],CHEMBL242987,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,CCC[*:1],CHEMBL242985,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,CN(C)C(=O)C[*:1],CHEMBL391558,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,CN(C)C(=O)CC[*:1],CHEMBL232311,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,OCC[*:1],CHEMBL395919,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,C1CCC([*:1])CC1,CHEMBL242492,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,O=C(O)C[*:1],CHEMBL234158,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,Oc1ccc([*:1])cc1,CHEMBL390221,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,c1ccc([*:1])cc1,CHEMBL244843_CHEMBL396512,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,Oc1cccc([*:1])c1,CHEMBL243798,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,Oc1ccccc1[*:1],CHEMBL245059,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,c1ccc(N[*:1])cc1,CHEMBL195335,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,C1CCC(N[*:1])CC1,CHEMBL192882,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,[*:1],CHEMBL381626,0
CC#CCn1c([*:1])c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21,NC1CCCN([*:1])C1,CHEMBL1951428,1
CC#CCn1c([*:1])c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21,C1CNCCN([*:1])C1,CHEMBL1951438,1
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn([*:1])c(=O)c21,c1ccc2c(C[*:1])nccc2c1,CHEMBL1951428,2
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn([*:1])c(=O)c21,c1ccc2c(C[*:1])ccnc2c1,CHEMBL1951427,2
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn([*:1])c(=O)c21,COc1cccc(C(=O)C[*:1])c1,CHEMBL1951425_CHEMBL1951426,2
N#Cc1c(N2CCCC(N)C2)n([*:1])c2c(=O)n(Cc3nccc4ccccc34)cnc12,CC#CC[*:1],CHEMBL1951428,3
N#Cc1c(N2CCCC(N)C2)n([*:1])c2c(=O)n(Cc3nccc4ccccc34)cnc12,CC(C)=CC[*:1],CHEMBL1951432,3
Cn1c(=O)cc(N2CCCC(N)C2)n([*:1])c1=O,CC#CC[*:1],CHEMBL2424672,4
Cn1c(=O)cc(N2CCCC(N)C2)n([*:1])c1=O,Brc1ccccc1C[*:1],CHEMBL1650439,4
CC#CCn1c(N2CCCC(N)C2)cc(=O)n([*:1])c1=O,C[*:1],CHEMBL2424672,5
CC#CCn1c(N2CCCC(N)C2)cc(=O)n([*:1])c1=O,CC#CC[*:1],CHEMBL2425882,5
CC#CCn1c(N2CCCC(N)C2)cc(=O)n([*:1])c1=O,c1ccc(C[*:1])cc1,CHEMBL2425883,5
CC#CCn1c(N2CCCC(N)C2)cc(=O)n([*:1])c1=O,c1cnc(C[*:1])nc1,CHEMBL2425884,5
CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(=O)[*:1],C=CO[*:1],CHEMBL5220594,6
CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(=O)[*:1],C(=Cc1ccccc1)O[*:1],CHEMBL5219996,6
CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(=O)[*:1],CC(C)=CCCC(C)=CO[*:1],CHEMBL5219532,6
CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(=O)[*:1],CC=CO[*:1],CHEMBL5219761,6
CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(=O)[*:1],CCOC(=O)C=CO[*:1],CHEMBL5220613,6
C=COC(=O)C1CCCN1C(=O)CN[*:1],CC(C)(C)OC(=O)[*:1],CHEMBL5220053,7
C=COC(=O)C1CCCN1C(=O)CN[*:1],[*:1],CHEMBL5219299,7
CC(C)(C)OC(=O)NCC(=O)N1CCCC1C(=O)[*:1],C=CO[*:1],CHEMBL5220053,8
CC(C)(C)OC(=O)NCC(=O)N1CCCC1C(=O)[*:1],C(=Cc1ccccc1)O[*:1],CHEMBL5219939,8
CC(C)(C)OC(=O)NCC(=O)N1CCCC1C(=O)[*:1],CCOC(=O)C=CO[*:1],CHEMBL5220415,8
NCCCCC(N)C(=O)N1CCCC1C(=O)[*:1],C=CO[*:1],CHEMBL5220657,9
NCCCCC(N)C(=O)N1CCCC1C(=O)[*:1],CC=CO[*:1],CHEMBL5218500,9
COC(=O)c1ccc(Cn2c(=O)cc(N3CCCC(N)C3)n([*:1])c2=O)cc1,CC#CC[*:1],CHEMBL4862579,10
COC(=O)c1ccc(Cn2c(=O)cc(N3CCCC(N)C3)n([*:1])c2=O)cc1,N#Cc1ccccc1C[*:1],CHEMBL4864734,10
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cccc(C(=O)[*:1])c2)c1=O,CC(N[*:1])C(=O)O,CHEMBL4858682,11
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cccc(C(=O)[*:1])c2)c1=O,COC(=O)C1CCCN1[*:1],CHEMBL4867117,11
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cccc(C(=O)[*:1])c2)c1=O,O=C(O)CN[*:1],CHEMBL4869930,11
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cccc(C(=O)[*:1])c2)c1=O,O=C(O)C1CCCN1[*:1],CHEMBL4859630_CHEMBL4871197,11
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cccc(C(=O)[*:1])c2)c1=O,COC(=O)C(C)N[*:1],CHEMBL4858093,11
