smiles	cid	tid
Brc1ccc2c(c1)-c1nc3cc(Br)ccc3n1CCO2	CHEMBL3401253	4005
C#Cc1ccc(-c2cc3c(c(-c4cnc(OC)c(NS(C)(=O)=O)c4)c2)CNC3=O)cn1	CHEMBL4867101	4005
C=CC(=O)Nc1cc(Nc2ncnc3ccc(-c4cnc5ccccc5c4)cc23)ccc1C	CHEMBL4796749	4005
C=CC(=O)Nc1ccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)cc1	CHEMBL4246563	4005
C=CC(=O)Nc1cccc(-n2c(=O)ccc3oc4ccc(-c5cccnc5)cc4c32)c1	CHEMBL4559706	4005
C=CCN1CCN(Cc2cc3nc(-n4c(CC)nc5ccccc54)nc(N4CCOCC4)c3s2)C(=O)C1	CHEMBL4788725	4005
CC(=NNc1nc(-c2ccccc2)cs1)c1cc2ccccc2o1	CHEMBL4759791	4005
CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	CHEMBL4516194	4005
CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	CHEMBL4556864	4005
CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	CHEMBL4443987	4005
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	CHEMBL4580111	4005
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1	CHEMBL4583106	4005
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	CHEMBL4576565	4005
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	CHEMBL4458909	4005
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	CHEMBL4454271_CHEMBL4462986_CHEMBL4472331	4005
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1	CHEMBL4437468	4005
CC(=O)N(C)CCNc1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1	CHEMBL5082167	4005
CC(=O)N1CC(C)N(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(C)C1	CHEMBL4061855	4005
CC(=O)N1CCC(n2nc(-c3cc4cc(O)cc(Cl)c4[nH]3)c3c(N)ncnc32)CC1	CHEMBL5220155	4005
CC(=O)N1CCN(C(=O)c2cccc(-c3ncnc4ccc(-c5cnc6ccccc6c5)cc34)c2)CC1	CHEMBL4469006	4005
CC(=O)N1CCN(c2cc(-c3cc(C(F)(F)F)c4c(N)ncnn34)ccc2C#N)C(=O)C1(C)C	CHEMBL4064666	4005
CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4C4CCOCC4)c4c(N)ncnn34)c2)C(=O)C1(C)C	CHEMBL4068514	4005
CC(=O)N1CCN(c2nc(-c3ccc4nc(N)sc4c3)nc(N3CCOCC3)n2)CC1	CHEMBL5173258	4005
CC(=O)N1CCN(c2nc(-c3ccc4oc(N)nc4c3)nc(N3CCOCC3)n2)CC1	CHEMBL5189826	4005
CC(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1	CHEMBL4125884	4005
CC(=O)N=c1[nH]c(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1	CHEMBL1229535	4005
CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	CHEMBL4555758	4005
CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	CHEMBL4465563	4005
CC(=O)NC1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	CHEMBL4448306	4005
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1	CHEMBL4580546	4005
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1	CHEMBL4469603	4005
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1	CHEMBL4435258	4005
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	CHEMBL4441686	4005
CC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1	CHEMBL4444263_CHEMBL4465671_CHEMBL4537126	4005
CC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1	CHEMBL4468444	4005
CC(=O)NCC(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1	CHEMBL2322661	4005
CC(=O)NCCNc1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1	CHEMBL5086257	4005
CC(=O)NCc1ccc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nn12	CHEMBL3601474	4005
CC(=O)Nc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1	CHEMBL2322236	4005
CC(=O)Nc1cccc(-c2ccc3c(c2)CN(C(=O)c2ccc(C(=O)C(F)(F)F)cc2)CCO3)c1	CHEMBL2333373	4005
CC(=O)Nc1cn2cc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1	CHEMBL2418954	4005
CC(=O)Nc1cn2cc(-c3cnc(N)c(C(F)(F)F)c3)cnc2n1	CHEMBL2418958	4005
CC(=O)Nc1cn2cc(-c3cnc(N)c(C(F)(F)F)c3)ncc2n1	CHEMBL2418955	4005
CC(=O)Nc1cn2cc(-c3cnc(N)c(OC(C)C(F)(F)F)n3)ccc2n1	CHEMBL3753450	4005
CC(=O)Nc1cn2cc(-c3cnc(N)c(OC(C)C)n3)ccc2n1	CHEMBL3753366	4005
CC(=O)Nc1cn2cc(-c3cnc(N)c(OCC(F)(F)F)n3)ccc2n1	CHEMBL3752019	4005
CC(=O)Nc1cn2nc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1	CHEMBL2418953	4005
CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(F)c2)s1	CHEMBL2071330	4005
CC(=O)Nc1nc(C)c(-c2cnc(-c3cccnc3)o2)s1	CHEMBL2204786	4005
CC(=O)Nc1nc(C)c(-c2cnc(C(C)(C)C)o2)s1	CHEMBL2204791	4005
CC(=O)Nc1nc(C)c(-c2cnc(CC(F)(F)F)o2)s1	CHEMBL2204788	4005
CC(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1	CHEMBL4174132	4005
CC(=O)Nc1nc(C)c(-c2cnc(Nc3cccc(C(=O)O)c3)o2)s1	CHEMBL2204779	4005
CC(=O)Nc1nc(C)c(-c2cnc(Nc3cccnc3)o2)s1	CHEMBL2203302	4005
CC(=O)Nc1nc(C)c(-c2cnc(S(C)(=O)=O)o2)s1	CHEMBL2204778	4005
CC(=O)Nc1nc(C)c(-c2cnc(Sc3cccnc3)o2)s1	CHEMBL2204785	4005
CC(=O)Nc1nc(C)c(-c2csc(C(C)C)n2)s1	CHEMBL3608321	4005
CC(=O)Nc1nc2cc(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)ccc2o1	CHEMBL5184793	4005
CC(=O)Nc1nc2ccc(-c3ccc(N)nc3)cc2s1	CHEMBL2418946	4005
CC(=O)Nc1nc2ccc(-c3cccc(NS(C)(=O)=O)c3)cn2n1	CHEMBL2064484	4005
CC(=O)Nc1nc2ccc(-c3cccnc3)cc2s1	CHEMBL2418961	4005
CC(=O)Nc1nc2ccc(-c3ccncc3)cn2n1	CHEMBL2064495	4005
CC(=O)Nc1nc2ccc(-c3ccsc3)cn2n1	CHEMBL2064498	4005
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NC(=O)c4cccc(Cl)c4)c3)cc2s1	CHEMBL3604612	4005
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NC(C#N)c4ccccc4)c3)cc2s1	CHEMBL3604621	4005
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2n1C	CHEMBL2418959	4005
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2o1	CHEMBL2418956	4005
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2s1	CHEMBL2418948	4005
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C)c3)cc2s1	CHEMBL2418944	4005
CC(=O)Nc1nc2ccc(-c3cnc(N)cc3C(F)(F)F)cc2s1	CHEMBL2418945	4005
CC(=O)Nc1nc2ccc(-c3cnc(N)nc3)cc2s1	CHEMBL2418947	4005
CC(=O)Nc1nc2ccc(-c3cncc(S(C)(=O)=O)c3)cn2n1	CHEMBL2059907	4005
CC(=O)Nc1nc2ccc(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2s1	CHEMBL5201411	4005
CC(=O)Nc1nc2ccc(-c3sc(C)nc3C)cn2n1	CHEMBL2064496	4005
CC(=O)Nc1ncc(-c2nc(N3CCOCC3)c3ncccc3n2)cn1	CHEMBL3109135	4005
CC(=O)Nc1ncc2cc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1	CHEMBL2418957	4005
CC(=O)c1ccc(-c2ccc3ncc4nc(C)n(-c5ccc(F)cc5)c4c3c2)cc1	CHEMBL5169438	4005
CC(=O)c1ccc(-c2ccc3ncnc(Nc4ccc(CC#N)cc4)c3c2)cc1	CHEMBL3890572	4005
