smiles	cid	tid
Brc1ccc(-c2nnc3sc(-c4ccoc4)nn23)cc1	CHEMBL2375482	220
Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(Br)cc2)cc1	CHEMBL3948489	220
Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccccc4)N2C3c2ccc(Br)cc2)cc1	CHEMBL3958208	220
Brc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1	CHEMBL4794000	220
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1	CHEMBL4741398	220
Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1	CHEMBL2047226	220
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1	CHEMBL330004	220
Brc1cccc(-c2nnc3sc(-c4ccoc4)nn23)c1	CHEMBL2375483	220
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1	CHEMBL356385	220
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21	CHEMBL1190983_CHEMBL542016	220
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C	CHEMBL1929421	220
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C	CHEMBL4173258	220
C#CCN(C)Cc1ccc(O)c2ncccc12	CHEMBL3291021	220
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1	CHEMBL4075667	220
C#CCN1CCc2nc3nc(N4CCCC4)c(C#N)cc3c(N)c2C1	CHEMBL2022933	220
C#CCNC1CCc2ccccc21	CHEMBL1201142_CHEMBL1235738_CHEMBL887	220
C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3	CHEMBL4212275	220
C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2	CHEMBL4632951	220
C#CCNc1c2c(nc3ccccc13)CCCC2	CHEMBL4633540	220
C#CCNc1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N	CHEMBL4225157	220
C#CCOc1ccc(-c2cc(-c3ccc(OCCN4CCOCC4)cc3)nc(N)n2)cc1	CHEMBL4790416	220
C#CCOc1ccc(C=NNc2c3c(nc4ccccc24)CCCC3)cc1	CHEMBL4542112	220
C#CCOc1cccc(-c2cc(-c3ccc(OCCN4CCOCC4)cc3)nc(C)n2)c1	CHEMBL5199704	220
C(=CC1CCN(Cc2ccccc2)CC1)c1noc2ccccc12	CHEMBL126939	220
C(=CC[n+]1cccc2ccccc21)C[n+]1cccc2ccccc21	CHEMBL1761998_CHEMBL1761999	220
C(=NC1CCN(Cc2ccccc2)C1)c1ccccc1	CHEMBL4796307	220
C(=NC1CCN(Cc2ccccc2)CC1)c1ccccc1	CHEMBL4537808	220
