core,sub,cid,as
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,C#CC[*:1],CHEMBL4212275,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,C=CCC[*:1],CHEMBL4217666,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,C=CC[*:1],CHEMBL4212713,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,CC(C)=CC[*:1],CHEMBL4207386,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,CCCCCCCC[*:1],CHEMBL4203988,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,CCCCCC[*:1],CHEMBL4217746,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,CCCC[*:1],CHEMBL4208322,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,CCC[*:1],CHEMBL4213147,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,CC[*:1],CHEMBL4209420,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,Cc1ccccc1C[*:1],CHEMBL4210517,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,N#Cc1ccccc1C[*:1],CHEMBL4202749,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,c1ccc(C[*:1])cc1,CHEMBL4214932,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,Fc1cc(F)cc(C[*:1])c1,CHEMBL4207101,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,Fc1ccccc1C[*:1],CHEMBL4205651,0
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,c1ccc(CCC[*:1])cc1,CHEMBL4210020,0
Clc1ccc2c(N[*:1])c3c(nc2c1)CCCC3,C#CC[*:1],CHEMBL4632951,1
Clc1ccc2c(N[*:1])c3c(nc2c1)CCCC3,c1ccc(C[*:1])nc1,CHEMBL4075061,1
Clc1ccc2c(N[*:1])c3c(nc2c1)CCCC3,NCCC[*:1],CHEMBL191758,1
N#Cc1cc(C#N)c(N[*:1])nc1NCCCCC1CCN(Cc2ccccc2)CC1,C#CC[*:1],CHEMBL4225157,2
N#Cc1cc(C#N)c(N[*:1])nc1NCCCCC1CCN(Cc2ccccc2)CC1,[*:1],CHEMBL2088786,2
C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(O[*:1])cc1,C#CC[*:1],CHEMBL4542112,3
C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(O[*:1])cc1,c1ccc(-n2cc(C[*:1])nn2)cc1,CHEMBL4445026,3
c1ccc(CN2CCC(Nc3nccc(N[*:1])n3)CC2)cc1,Brc1ccc(C[*:1])cc1,CHEMBL2047226,4
c1ccc(CN2CCC(Nc3nccc(N[*:1])n3)CC2)cc1,COc1ccc(C[*:1])cc1,CHEMBL2047229,4
c1ccc(CN2CCC(Nc3nccc(N[*:1])n3)CC2)cc1,Clc1ccc(C[*:1])cc1,CHEMBL2047225,4
