core,sub,cid,as
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,CC(=O)N(C)CCN[*:1],CHEMBL5082167,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,CC(=O)N1CCN([*:1])CC1,CHEMBL4125884,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,CC(=O)NCCN[*:1],CHEMBL5086257,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,CC(N)C(=O)N1CCN([*:1])CC1,CHEMBL2322662_CHEMBL2322663,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,CN(C)CC(=O)N1CCN([*:1])CC1,CHEMBL2322672,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,CNC(=O)CCN[*:1],CHEMBL5092014,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,CNCCN[*:1],CHEMBL5085424,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,CNC(C)C(=O)N1CCN([*:1])CC1,CHEMBL2322671,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,CNCCN(CCO)[*:1],CHEMBL5088136,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,COCCN(CCO)[*:1],CHEMBL5078681,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,COCCN(CCOC)[*:1],CHEMBL5086251,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,C1CN([*:1])CCN1,CHEMBL3400288,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,C1CN([*:1])CCO1,CHEMBL586702,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,NCC(=O)N1CCN([*:1])CC1,CHEMBL2322660,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,NCCC(=O)N1CCN([*:1])CC1,CHEMBL2322670,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,NCCN[*:1],CHEMBL5080466,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,O=C(O)CCN[*:1],CHEMBL5075977,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,OCCN(CCO)[*:1],CHEMBL5087654,0
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc([*:1])n1,OCCN[*:1],CHEMBL5094393,0
Nc1ncnc2c1c(-c1cc3cc(O)cc(Cl)c3[nH]1)nn2[*:1],CC(=O)N1CCC([*:1])CC1,CHEMBL5220155,1
Nc1ncnc2c1c(-c1cc3cc(O)cc(Cl)c3[nH]1)nn2[*:1],C1CC([*:1])CCO1,CHEMBL5218964,1
CC(=O)N1CCN(C(=O)c2cccc(-c3ncnc4ccc([*:1])cc34)c2)CC1,c1ccc2ncc([*:1])cc2c1,CHEMBL4469006,2
CC(=O)N1CCN(C(=O)c2cccc(-c3ncnc4ccc([*:1])cc34)c2)CC1,COc1ccc([*:1])cn1,CHEMBL3947814,2
CC(=O)N1CCN(C(=O)c2cccc(-c3ncnc4ccc([*:1])cc34)c2)CC1,COc1ccc([*:1])cc1OC,CHEMBL3944013,2
CC(=O)N1CCN(C(=O)c2cccc(-c3ncnc4ccc([*:1])cc34)c2)CC1,COc1ncc([*:1])cc1C#N,CHEMBL3977066,2
CC(=O)N1CCN(C(=O)c2cccc(-c3ncnc4ccc([*:1])cc34)c2)CC1,COc1ncc([*:1])cc1C(F)(F)F,CHEMBL4521888,2
O=C(c1cccc(-c2ncnc3ccc(-c4cnc5ccccc5c4)cc23)c1)N1CCN([*:1])CC1,CC(=O)[*:1],CHEMBL4469006,3
O=C(c1cccc(-c2ncnc3ccc(-c4cnc5ccccc5c4)cc23)c1)N1CCN([*:1])CC1,C[*:1],CHEMBL4437791,3
CC(=O)N1CCN(c2nc(N3CCOCC3)nc([*:1])n2)CC1,Nc1nc2ccc([*:1])cc2s1,CHEMBL5173258,4
CC(=O)N1CCN(c2nc(N3CCOCC3)nc([*:1])n2)CC1,Nc1nc2cc([*:1])ccc2o1,CHEMBL5189826,4
Nc1nc2ccc(-c3nc(N4CCOCC4)nc([*:1])n3)cc2s1,CC(=O)N1CCN([*:1])CC1,CHEMBL5173258,5
Nc1nc2ccc(-c3nc(N4CCOCC4)nc([*:1])n3)cc2s1,C1CN([*:1])CCO1,CHEMBL5201674,5
Nc1nc2ccc(-c3nc(N4CCOCC4)nc([*:1])n3)cc2s1,FC(F)(F)C1CCN([*:1])CC1,CHEMBL5181915,5
Nc1nc2ccc(-c3nc(N4CCOCC4)nc(N4CCN([*:1])CC4)n3)cc2s1,CC(=O)[*:1],CHEMBL5173258,6
Nc1nc2ccc(-c3nc(N4CCOCC4)nc(N4CCN([*:1])CC4)n3)cc2s1,CC(C)(C)OC(=O)[*:1],CHEMBL5209257,6
Nc1nc2cc(-c3nc(N4CCOCC4)nc([*:1])n3)ccc2o1,CC(=O)N1CCN([*:1])CC1,CHEMBL5189826,7
Nc1nc2cc(-c3nc(N4CCOCC4)nc([*:1])n3)ccc2o1,CC(C)N1CCN([*:1])CC1,CHEMBL5202720,7
Nc1nc2cc(-c3nc(N4CCOCC4)nc([*:1])n3)ccc2o1,CCN1CCN([*:1])CC1,CHEMBL5205287,7
Nc1nc2cc(-c3nc(N4CCOCC4)nc([*:1])n3)ccc2o1,CS(=O)(=O)N1CCN([*:1])CC1,CHEMBL5182041,7
Nc1nc2cc(-c3nc(N4CCOCC4)nc([*:1])n3)ccc2o1,C1CN([*:1])CCN1,CHEMBL5191363,7
Nc1nc2cc(-c3nc(N4CCOCC4)nc([*:1])n3)ccc2o1,C1CC(N[*:1])CCO1,CHEMBL5173056,7
Nc1nc2cc(-c3nc(N4CCOCC4)nc([*:1])n3)ccc2o1,C1CN([*:1])CCO1,CHEMBL5170522,7
Nc1nc2cc(-c3nc(N4CCOCC4)nc([*:1])n3)ccc2o1,FC(F)(F)C1CCC(N[*:1])CC1,CHEMBL5187293,7
Nc1nc2cc(-c3nc(N4CCOCC4)nc(N4CCN([*:1])CC4)n3)ccc2o1,CC(=O)[*:1],CHEMBL5189826,8
Nc1nc2cc(-c3nc(N4CCOCC4)nc(N4CCN([*:1])CC4)n3)ccc2o1,CC(C)(C)OC(=O)[*:1],CHEMBL5178625,8
Nc1nc2cc(-c3nc(N4CCOCC4)nc(N4CCN([*:1])CC4)n3)ccc2o1,CC(C)[*:1],CHEMBL5202720,8
Nc1nc2cc(-c3nc(N4CCOCC4)nc(N4CCN([*:1])CC4)n3)ccc2o1,CC[*:1],CHEMBL5205287,8
Nc1nc2cc(-c3nc(N4CCOCC4)nc(N4CCN([*:1])CC4)n3)ccc2o1,CS(=O)(=O)[*:1],CHEMBL5182041,8
Nc1nc2cc(-c3nc(N4CCOCC4)nc(N4CCN([*:1])CC4)n3)ccc2o1,[*:1],CHEMBL5191363,8
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,CC(=O)[*:1],CHEMBL4125884,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,CC(=O)NCC(=O)[*:1],CHEMBL2322661,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,CC(N)C(=O)[*:1],CHEMBL2322662_CHEMBL2322663,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,CCC(C)C(N)C(=O)[*:1],CHEMBL2322666,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,CN(C)CC(=O)[*:1],CHEMBL2322672,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,CNC(C)C(=O)[*:1],CHEMBL2322671,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,NCC(=O)[*:1],CHEMBL2322660,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,NCCC(=O)[*:1],CHEMBL2322670,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,NCCCCC(N)C(=O)[*:1],CHEMBL2322669,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,O=C(C1CCCN1)[*:1],CHEMBL2322668_CHEMBL3982304,9
FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCN([*:1])CC2)n1,[*:1],CHEMBL3400288,9
Nc1ncc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)cn1,CC(=O)N(C)C1CCCN([*:1])C1,CHEMBL4443987,10
Nc1ncc(-c2nc(N3CCOCC3)c3sc(C[*:1])cc3n2)cn1,CC(=O)NC1CCCN([*:1])C1,CHEMBL4448306,10
