core,sub,cid,as
CC(=O)N1CCC(NC(=O)NC2CCC([*:1])CC2)CC1,CC(C)(C)[*:1],CHEMBL1668929,0
CC(=O)N1CCC(NC(=O)NC2CCC([*:1])CC2)CC1,[*:1],CHEMBL1668927,0
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2ccc(O[*:1])cc2)CC1,CC(=O)C[*:1],CHEMBL1933513,1
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2ccc(O[*:1])cc2)CC1,C[*:1],CHEMBL1933501,1
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2ccc(O[*:1])cc2)CC1,FC(F)(F)[*:1],CHEMBL1933510,1
O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2ccc(O[*:1])cc2)CC1,[*:1],CHEMBL1933511,1
O=C(NC1CCCCC1)NC1CCN([*:1])CC1,CC(=O)[*:1],CHEMBL1668927,2
O=C(NC1CCCCC1)NC1CCN([*:1])CC1,CCC(=O)[*:1],CHEMBL1256164,2
O=C(NC1CCCCC1)NC1CCN([*:1])CC1,O=C(c1ccccn1)[*:1],CHEMBL1668938,2
O=C(NC1CCCCCC1)NC1CCN([*:1])CC1,CC(=O)[*:1],CHEMBL1668928,3
O=C(NC1CCCCCC1)NC1CCN([*:1])CC1,CCC(=O)[*:1],CHEMBL1257632,3
O=C(Nc1ccc(C(F)(F)F)cc1)NC1CCN([*:1])CC1,CC(=O)[*:1],CHEMBL1668932,4
O=C(Nc1ccc(C(F)(F)F)cc1)NC1CCN([*:1])CC1,CC(C)S(=O)(=O)[*:1],CHEMBL1668939,4
O=C(Nc1ccc(C(F)(F)F)cc1)NC1CCN([*:1])CC1,CCC(=O)[*:1],CHEMBL1258670,4
O=C(Nc1ccc(C(F)(F)F)cc1)NC1CCN([*:1])CC1,CS(=O)(=O)[*:1],CHEMBL1668936,4
O=C(Nc1ccc(OC(F)(F)F)cc1)NC1CCN([*:1])CC1,CC(=O)[*:1],CHEMBL1668934,5
