smiles	cid	tid
Brc1ccc(-c2cnc3nnc(Cc4c[nH]c5ccccc45)n3n2)cc1	CHEMBL3799231	3717
Brc1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1	CHEMBL3798130	3717
Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1	CHEMBL3321905	3717
C#CCC(Oc1c(N)ncc2c(-c3cnn(C4CCNCC4)c3)coc12)c1c(Cl)ccc(F)c1Cl	CHEMBL2401818	3717
C#Cc1c(Oc2ccc(-n3cc(C(=O)NCc4ccc(F)cc4)ccc3=O)cc2F)ccnc1N	CHEMBL3309958	3717
C#Cc1c(Oc2ccc(NC(=O)NC(=O)Cc3ccc(F)cc3)cc2F)ccnc1N	CHEMBL502531	3717
C#Cc1c(Oc2ccc(NC(=O)c3cccn(-c4ccc(F)cc4)c3=O)cc2F)ccnc1N	CHEMBL462622	3717
C=C1CN(C)CCc2ccc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NC)n3)cc21	CHEMBL3263974	3717
C=C1CNCCc2ccc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NC)n3)cc21	CHEMBL3263973	3717
C=CC(=O)Nc1ccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)cn1	CHEMBL4171543	3717
C=CCC(Oc1c(N)ncc2c(-c3cnn(C4CCNCC4)c3)coc12)c1c(Cl)ccc(F)c1Cl	CHEMBL2401817	3717
C=CCOc1cc(=O)n(-c2ccc(Oc3ccnc(N)c3Cl)c(F)c2)cc1C(=O)NCc1ccc(F)cc1	CHEMBL3309967	3717
C=CS(=O)(=O)Nc1ccc2ccc3ncc(-c4ccccc4)cc3c(=O)c2c1	CHEMBL1802823	3717
CC(=O)N1CC=C(c2coc3c(OC(C)c4c(Cl)ccc(F)c4Cl)c(N)ncc23)CC1	CHEMBL2401828	3717
CC(=O)N1CCC(Nc2ccc(-c3n[nH]c4c3CN(S(=O)(=O)c3c(Cl)cccc3Cl)CC4)cc2)CC1	CHEMBL4176824	3717
CC(=O)N1CCC(Nc2ccc(-c3n[nH]c4c3CN(S(=O)(=O)c3cccc([N+](=O)[O-])c3)CC4)cc2)CC1	CHEMBL4161698	3717
CC(=O)N1CCC(n2cc(-c3cnc(F)c(OC(C)c4c(Cl)ccc(F)c4Cl)c3)cn2)CC1	CHEMBL4640560	3717
CC(=O)N1CCC(n2cc(-c3cncc(OC(C)c4c(Cl)ccc(F)c4Cl)c3)cn2)CC1	CHEMBL4638327	3717
CC(=O)N1CCC(n2cc(-c3coc4c(OC(C)c5c(Cl)ccc(F)c5Cl)c(N)ncc34)cn2)CC1	CHEMBL2401819	3717
CC(=O)N1CCN(c2cnc3cc(C(F)(F)F)cc(-c4ccccc4)c3n2)CC1	CHEMBL510459	3717
CC(=O)N1CCN(c2cnc3ccn(S(=O)(=O)c4cccc5nonc45)c3c2)CC1	CHEMBL549980	3717
CC(=O)Nc1cc(Oc2ccc(Nc3nccc4[nH]cc(-c5ccc(F)cc5)c(=O)c34)cc2F)ccn1	CHEMBL4459121	3717
CC(=O)Nc1ccc(-c2n[nH]c3c2CN(S(=O)(=O)c2c(Cl)cccc2Cl)CC3)cc1	CHEMBL4173099	3717
CC(=O)Nc1nc2ccc(Cc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc2s1	CHEMBL3414745	3717
CC(=O)Nc1nc2ccc(Sc3nnc4ccc(-c5ccc(F)cc5)nn34)cc2s1	CHEMBL4542687	3717
CC(=O)OCCn1cc(-c2cnc3ccc(OC(C)c4c(Cl)ccc(F)c4Cl)cc3n2)cn1	CHEMBL4648693	3717
CC(=O)c1cccc(C(=O)Nc2ccc(Oc3ncnn4cc(OCCN5CCN(C)CC5)c(C)c34)c(F)c2)c1	CHEMBL251780	3717
CC(=O)c1cccc(CNc2cc(C(F)(F)F)cc3ncc(N4CCN(C)CC4)cc23)c1	CHEMBL3221113	3717
CC(=O)c1cccc(Nc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)n2)c1	CHEMBL3287592	3717
CC(C(=O)Nc1ccc(F)cc1)C(=O)Nc1ccc(-c2cccc3onc(N)c23)cc1	CHEMBL3394466	3717
CC(C(N)=O)c1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1	CHEMBL2324116	3717
CC(C)(C)C(=O)Nc1cc(Oc2ccc(Nc3nccc4[nH]cc(-c5ccc(F)cc5)c(=O)c34)cc2F)ccn1	CHEMBL4460341	3717
CC(C)(C)OC(=O)N1CCC(n2cc(-c3cnc4ccn(S(=O)(=O)c5c(Cl)nc6sccn56)c4c3)cn2)CC1	CHEMBL564440	3717
CC(C)(C)OC(=O)N1CCC(n2cc(-c3cnc4nnc(Cc5ccc6ncccc6c5)n4n3)cn2)CC1	CHEMBL3798590	3717
CC(C)(C)OC(=O)N1CCN(c2cnc3ccn(S(=O)(=O)c4c(Cl)nc5sccn45)c3c2)CC1	CHEMBL550158	3717
CC(C)(C)OC(=O)N1CCN(c2cnc3ccn(S(=O)(=O)c4ccccc4[N+](=O)[O-])c3c2)CC1	CHEMBL556627	3717
CC(C)(C)OC(=O)c1cnc2ccn(S(=O)(=O)c3ccccc3[N+](=O)[O-])c2c1	CHEMBL1822362	3717
CC(C)(C)n1cccc(C(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)c1=O	CHEMBL507573	3717
CC(C)(O)C(=O)Nc1cc(Oc2ccc(Nc3nccc4[nH]cc(-c5ccc(F)cc5)c(=O)c34)cc2F)ccn1	CHEMBL4549272	3717
CC(C)C(=O)Nc1cc(Oc2ccc(Nc3nccc4[nH]cc(-c5ccc(F)cc5)c(=O)c34)cc2F)ccn1	CHEMBL4468880	3717
CC(C)C(N)C(=O)Nc1cccc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c1	CHEMBL3357445	3717
CC(C)CCn1cccc(C(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)c1=O	CHEMBL453849	3717
CC(C)N1CCN(c2cnc3ccc4ccc(NS(C)(=O)=O)cc4c(=O)c3c2)CC1	CHEMBL1802589	3717
CC(C)Oc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1	CHEMBL461582	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(NN=Cc2ccc(C(F)(F)F)cc2)ncc1Cl	CHEMBL3893810	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(NN=Cc2ccc(F)cc2)ncc1Cl	CHEMBL3921664	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(NN=Cc2ccc(OC(F)(F)F)cc2)ncc1Cl	CHEMBL3913728	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(NN=Cc2cccc(C(F)(F)F)c2)ncc1Cl	CHEMBL3934594	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)C(C)(C)N)c2)ncc1Cl	CHEMBL3357447	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)C(N)Cc3c[nH]cn3)c2)ncc1Cl	CHEMBL3357448	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)C3CCN3)c2)ncc1Cl	CHEMBL3357451	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)CCCN)c2)ncc1Cl	CHEMBL3357450	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)CCN)c2)ncc1Cl	CHEMBL3357449	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)CN)c2)ncc1Cl	CHEMBL3357439	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)CN3CC4CC3CC4O)c2)ncc1Cl	CHEMBL3357462	3717
CC(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2cccc(NC(=O)CN3CC4CC3CN4)c2)ncc1Cl	CHEMBL3357460	3717
