smiles	cid	tid
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl	CHEMBL5177240	1865
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl	CHEMBL5170598	1865
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl	CHEMBL5187984	1865
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl	CHEMBL5200566	1865
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl	CHEMBL5178014	1865
C#CCN(C)CCCOc1cc(NCc2ccc(C=CC(=O)NO)cc2)ccc1Cl	CHEMBL5191350	1865
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl	CHEMBL5182215	1865
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl	CHEMBL5193384	1865
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1	CHEMBL5171489	1865
C#CCN1C(=O)C(=C2Nc3ccccc3C2=NOCCCC(=O)NO)c2ccccc21	CHEMBL4877598	1865
C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS	CHEMBL2047683	1865
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc(OC)cc1C=CC(=O)NO	CHEMBL4517272	1865
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)c(C=CC(=O)NO)cn2C	CHEMBL4448903	1865
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)cc(C=CC(=O)NO)n2C	CHEMBL4460757	1865
C=CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1	CHEMBL4247128	1865
C=CCn1c(SCCCCCC(=O)Nc2ccccc2N)nnc1-c1ccncc1	CHEMBL4868119	1865
C=CCn1c(SCc2ccc(C(=O)NO)cc2)nnc1-c1ccncc1	CHEMBL4869232	1865
C=CCn1c(SCc2ccc(C(=O)Nc3ccccc3N)cc2)nnc1-c1ccncc1	CHEMBL4854089	1865
C=Cc1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)NO	CHEMBL3287267	1865
CC(=NN(C)C(=O)c1ccc(N(C)C)cc1)c1ccc(C(=O)NO)cc1	CHEMBL3763386	1865
CC(=NNC(=O)c1ccc(N(C)C)cc1)c1ccc(C(=O)NO)cc1	CHEMBL3764728	1865
CC(=NNC(=S)NCCCCCC(=O)NO)c1ccc(Br)cc1	CHEMBL4785327	1865
CC(=NNC(=S)NCCCCCC(=O)NO)c1ccc(F)cc1	CHEMBL4749226	1865
CC(=NNC(=S)NCCCCCC(=O)NO)c1cccc(Br)c1	CHEMBL4791832	1865
CC(=O)CCCCCC(NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1	CHEMBL217651	1865
CC(=O)N1c2ccc(-c3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc2C(NC(=O)OC(C)C)CC1C	CHEMBL3220922	1865
CC(=O)N1c2ccc(-c3ccccc3)cc2C(NC(=O)CCCCCCC(=O)NO)CC1C	CHEMBL3220924	1865
CC(=O)N1c2ccc(NC(=O)CCCCCCC(=O)NO)cc2C(NC(=O)OC(C)C)CC1C	CHEMBL3220923	1865
CC(=O)N1c2ccc(NC(=O)CCCCCCC(=O)NO)cc2C(Nc2ccccc2)CC1C	CHEMBL3220925	1865
